Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2026-03-06,8731.67,8739.08,8472.49,8516.38,9318886
2026-03-09,8391.68,8495.42,8328.1,8474.65,11422123
2026-03-10,8651.16,8708.84,8521.03,8578.78,8120608
2026-03-11,8619.7,8619.7,8448.78,8472.15,10045249
2026-03-12,8491.5,8491.5,8322.45,8357.95,8360264
2026-03-13,8339.35,8421.92,8267.12,8361.59,10953765
2026-03-16,8389.1,8396.41,8267.37,8361.63,9323991
2026-03-17,8396.15,8623.55,8353.59,8623.55,11845878
2026-03-18,8673.73,8716.65,8527.87,8537.47,13579688
2026-03-19,8525.93,8525.93,8380.77,8418.91,13074387
2026-03-20,8489.56,8489.56,8191.21,8247.07,38299941
2026-03-23,8120.29,8343.89,7992.65,8297.37,20163484
2026-03-24,8311.98,8311.98,8155.21,8194.25,7228813
2026-03-25,8295.22,8361.58,8268,8298.55,8090900
2026-03-26,8314.35,8314.35,8210.64,8273.52,5830946
2026-03-27,8300.39,8300.39,8147.46,8240.93,6910984
2026-03-30,8222.74,8329.65,8159,8288.88,8272963
2026-03-31,8338.76,8495.59,8338.76,8467.42,8310311
2026-04-01,8580.18,8622.07,8549.46,8580.74,9707386
2026-04-02,8530.67,8652.4,8506.05,8652.4,7586780
2026-04-07,8652.26,8741.25,8574.48,8632.3,8772351
2026-04-08,8778.21,8924.65,8764.43,8918.69,13159214
2026-04-09,8913.88,8922.67,8856.34,8895.59,6935926
2026-04-10,8910.23,9050.05,8904.3,9036.06,9326446
2026-04-13,9016.55,9053.28,8965.22,9031.26,8823976
2026-04-14,9098.27,9145.29,9060.71,9144.9,6869359
2026-04-15,9173.85,9236.47,9138.85,9236.47,8370185
2026-04-16,9263.37,9264.81,9098.86,9178.15,9729952
2026-04-17,9188.53,9316.74,9160.49,9307,8721596
2026-04-20,9239.16,9267.77,9184.83,9240.29,7108937
2026-04-21,9204.42,9204.42,9122.65,9127.87,10090970
2026-04-22,9130.94,9160.83,9069.44,9134.16,9616542
2026-04-23,9114.76,9114.76,9004.66,9033.5,10037206
2026-04-24,9052.98,9052.98,8927.09,8991.98,7740518
2026-04-27,9053.6,9053.6,8937.75,8955.93,7910045
2026-04-28,8992.52,9012.01,8908.48,8919.38,10192255
2026-04-29,8940.06,9027.2,8901.59,8960.77,11169440
2026-04-30,8989.39,8989.39,8914.29,8940.33,9972410
2026-05-04,9015.95,9057.06,8928.06,9038.16,9323453
2026-05-05,9041.8,9102.68,9001.34,9102.68,12654238
2026-05-06,9184.35,9270.89,9156.84,9261.74,11712754
2026-05-07,9292.75,9292.75,9172.39,9244.69,8961926
2026-05-08,9256.62,9256.62,9068.23,9068.23,6598483
2026-05-11,9130.05,9174.08,9072.57,9135.19,6360182
2026-05-12,9166.44,9166.44,9021.56,9034.25,9001179
2026-05-13,9044.32,9057.7,8972.87,9053.59,7457959
2026-05-14,9111.36,9224.78,9051.7,9183.84,7861024
2026-05-15,9200.4,9200.4,9098.65,9139.42,7702471
2026-05-18,9129.16,9227.59,9097.18,9215.6,6574902
2026-05-19,9277,9277,9163.69,9194.82,7544785
2026-05-20,9239.06,9314.32,9187.79,9310.07,6042225
2026-05-21,9306.03,9418.98,9284.11,9367.04,7191890
2026-05-22,9416.7,9480.13,9375.88,9480.13,8233816
2026-05-25,9518.8,9662.54,9513.06,9662.54,6920967
2026-05-26,9657.17,9674.34,9599.27,9608.16,7131814
2026-05-27,9590.87,9615.33,9521.67,9521.67,7154521
2026-05-28,9487.47,9576.65,9457.88,9572.57,7066384
2026-05-29,9597.39,9657.96,9596.62,9624.8,13748471
2026-06-01,9606.36,9608.66,9451.25,9463.33,13734737
2026-06-02,9492.44,9611.1,9492.44,9530.78,18902408
